"id","document_name","description"
"97","V1111616.pdf","SPECTACULAR opportunity, just under 1/4 acre corner lot in sought after SW Marine Drive district. BONUS: FABULOUS 6 bdrm, 7 baths home that was thoroughly renovated in 2013 with attention to STYLE & ELEGANCE. Almost 5600 square ft on 3 levels,ultra high & vaulted ceilings, gourmet & wok kitchen, X-large open concept entertainment rooms worthy of all your GRAND soirees & parties! All upstairs bdrms are fully ensuited including the SPA-like Mbdrm. Indulge everyone with the massive recreation room, theater room, SAUNA on lower level. Gorgeous sundrenched manicured lawns & lush landscaping. CENTRAL AIR CONDITIONING! Seller rentback? Quick access to UBC university, Magee & McKechnie , parks, golf courses, etc. City supports SUBDIVISION?  "
"98","V1111985.pdf","Luxury Home with complete reno into modern beauty in Kerrisdale. From new maple hardwood floor to computerized auto lighting. Faux painting & accent fireplace wall. New paint & drapes, completely renovated power room and washrooms. New stair railings & extra sun roof in place. Mudroom with custom closets. New top standard open concept kitchen, island & countertops with new French door. All bedrooms are ensuites & equipped with new drapes. Walk-in closets in Master also boasts double sink bathroom with jacuzzi. Large balcony to enjoy the sunset. Entertainment level: hardwood floors, expansive open space suitable for almost any purpose. With wet bar, dance floor, 14 S/sound theater, sauna, and extra BR. Custom garage flring. View now!  http://www.realtor.ca/Residential/Single-Family/15444526/6543-MAPLE-ST-Vancouver-B... 6/2/2015  6543 MAPLE ST, Vancouver, British Columbia V6P5P1 - V1111985 | Realtor.ca  Page 2 of 2  "
"99","V1112391.pdf","ATTENTION BUILDERS & INVESTORS! Big 75 x 122 (9,150 sq ft) at second Shaughnessy on a quiet tree lined street. This home can be teared down and build your dream home. School catchment: Quilchena Elementary & Point Grey Secondary. Close to all top private schools.  "
"100","V1113428.pdf","A truly master piece designed by award winning designer, Victor Eric design group & built by experienced west side builder, Tamanna. Magnificent custom built quality home located in prestigious South Granville location. This executive home comes with a total of 7076 SF (6328+748 LWH) and consists of 10 bedrooms, 10 bathrooms & 4 kitchens. High end appliances, gourmet kitchen wok kitchen, wet bar, home theatre, outdoor heated swimming pool, hot tub, steam bath, in & outdoor waterfall, central AC, HRV, fenced yard & everything you could think of. Churchill Sec, UBC, shopping, transit, easy access to Richmond. Absolute superb quality, design & workmanship. Definitely a pride of ownership.  "
"101","V1114153.pdf","Brand new never been occupied residence in vicinity of Queen Elizabeth Park! Sitting on a 7027sf lot, this immaculate home offers up to 4900sf of luxurious and functional living spaces. Main floor boasts an open concept floor plan, with entertainment size living, dining and family rooms; gourmet kitchen with top-notch SS appliances. A master retreat upstairs with spa-like ensuite + 4 extra bdrms all ensuited. Downstairs comprised of rec room/home theatre, a guest bdrm suite to accommodate your inlaws, and a legal 2 bedroom suite with full kitchen and separate entry. Top school catchment: William Van Home, Eric Hamber. French Immersion: Quilchena Elementary, General Gordon, Winston Churchill. Must look! OPEN HOUSE May 30 SAT 2-4  "
"102","V1114166.pdf","Elegant Shaughnessy family home on 10,000 sf corner lot with view toward Vanc Island. Well maintained & update by 1 owner since 1958. Quiet, 76x132 RS-3A zoned lot with private west facing rear garden & double carport off 39th Ave. Oil tank removed under permit. Recent updates inc. Hi efficiency furnace & HW tank, total bsmt finishing & new paint. Ideal location, near Kerrisdale shops, restaurants & recreation. Quilchena & Point Grey school catchment. Xhall plan, bordered oak HW flrs & entertainment sized rms. 7 BRs, 4 baths with 4 Brs up inc. Mbr enste. House can be demolished but plans & renderings avail showing new kitchen FamRm addition, new enste bath & 2nd floor renovation ideas. Seller is motivated. Bring offers. Open Sat 2-4  "
"103","V1114732.pdf","Beautiful family home in a quiet neighbourhood with charming street appeal. Extensive addition and renovations in 2005 and 2007. Cross hall plan. Hardwood floors on the main and up. Living room has French doors overlooking the professional landscaped garden. Family room with built-in wall unit. Gourmet kitchen with eating area and adjoining sitting area. Mud room. 4 bedrooms up including master bedroom with 2 walk-in closets and deluxe ensuite, 2nd bedroom with newer ensuite. Basement is finished with huge recreation room, bedroom, den, laundry, storage. Gorgeous private backyard. Walking distance to Magee High School and Maple Grove Elementary. Fixed lease to Dec. 31, 2015 @ $6000/month.  "
"104","V1114927.pdf","4,600 Sqft, 5 bdrm, 7 bth luxury home in the prestigious One Wall Centre! Floor to ceiling windows showcasing beautiful Vancouver! Wake up to the 270 degree view of the North Shore Mountains gently sloping into the sparkling ocean framed by West Vancouver and the Point Grey shorelines from English Bay to the Port of Vancouver. The spacious open concept custom kitchen, large entertainment sized dining room, media room, private study, billiards room with an ultimate wet bar, 3 electric fireplaces and six parking stalls makes this home one of the most luxurious in Vancouver. The One Wall Centre amenities include gym, pool and 24hr concierge. Are you on The V List?  "
"105","V1115083.pdf","Stunning gated residence extensively rebuilt in 2003 and 2014 with full attention to architectural details. All rooms are perfect for entertaining and oriented to provide views of the Fraser River, Delta and Gulf Islands. Home features elegant Italian porcelain tile flooring, living room with floor to ceiling view windows and a vaulted ceiling, gourmet kitchen with stainless steel Sub-Zero, Fisher Paykel and 5 Star appliances, Argentinean granite counters and over-sized island and pantry with a wine bar, fridge and full size laundry area. Walk out of the kitchen, dining and living rooms to a spacious new patio perfect for outdoor entertaining. Other features include a new bonus one bedroom suite, a double garage, new metal roof and leaf guard gutter system both with a life-long warranty, newly painted exterior, paver front driveway with additional parking for 4 plus cars. Home was featured in the Home and Garden Tour. Park-like yards with mature trees and room for a future pool or possible tennis court.  "
"106","V1115900.pdf","RARE OPPORTUNITY to own this 17,000 SF Building Lot in British Properties w/PANORAMIC VIEWS of the ocean, city and bridge. Sunny, bright and perfectly positioned in the sought after 1100 block of Eyremount Dr. This property is under renovation and is beings sold as is - where is with no warranty from the Seller. Complete the renovation, hold or build your dream estate home. Showings by appointment!  "
"107","V1115935.pdf","An excellent located property in Vancouver for you to hold-on to see the growth for your $$$ investment. Rare opportunity in prestigious First Shaughnessy District for development or Assembly potential to build multifamily right next to Oak Street & King Edward Ave. Capitalize on strong demand for condos or townhouses in an area that will appeal to all buyers demographic. Vendor to lease back for a year. Home in very good condition with large kitchen for your entertainment. To live in now & develop later is a sure win. No for sale sign on property. Please do not walk on property. Property is sold ""As is, where is"". Please call listing agent for information.  "
"108","V1116019.pdf","Magnificent views from your ultra private home! Perched up high on the hill on over 1/2 acre of land, enjoy breathtaking view from this unique property. Functional layout on the main level, with 2 kitchens and all the space you need to  "
"109","V1116023.pdf","DO YOU WANT A BUILDING LOT? over 11,000 square ft flat lot, west of Granville Street in amongst much larger properties. First Shaughnessy District zoning allows FSR of 0.045. A new home of ALMOST 5,000 sq ft. PLEASE DO NOT WALK ON PROPERTY. House measurements are estimates only and must be confirmed if important.  "
"110","V1116606.pdf","Stunning home in Whitby Estates with spec unobstructed city & ocean view from all 3 lvls. Custom blt w/qlty, fine finishing & workmanship, this elegant 6 BDM 7 BTH res feats marble foyer which flows to lge entert-sized open living & dining areas w/wall-to-wall windows to the forever view, generous-sized family room, open custom kit with top appliances. Upstairs are 4 spacious enste bdms incl impressive fire-placed master w/lux enste. Lower lvl leads to outdoor swing pool & feats home theatre, recrm w/wet bar & indoor hot tub and Sauna. Bonus features include air-conditioning, paved heated driveway & 2-5-10 New Home Warranty. OPEN HOUSE April 25th 2-4pm.  "
"111","V1117056.pdf","Stunning custom built contemporary on a commanding site with spectacular unobstructed ocean & city VIEW in popular Chelsea Park location with close proximity to Collingwood & Mulgrave private schools. Meticulously maintained spacious home offers views from all 3 levels and features on the main open formal large living rm with faux painting,exquisite crown mouldings & glass walls, dining area w/F/P off the open kitchen, wok kitchen & skylight den An enormous master suite & 2 enste BD occupy the upper floor & on the entrance level is the home theatre, hobby rm & guest BD. A rare two-4 covered car garage on the entrance & main floor. Heated driveway and large decks are additional feats.  "
"112","V1117149.pdf","Fine quality built home in Kerrisdale area. This classic home sits on a 79.6x139.6 (10873 SF) lot. Offering over 6000 square ft living space. Features luxury European kitchen appliances, hardwood flooring, crown moldings. Spacious layout with 6 bedrooms, 7 bathrooms, lots of porch area & beautiful outdoor garden. This home is one of a kind beautiful estate & will be gone soon! Book your private showing today! Agent Open House April 24th 2015 11:00am-1;00pm  "
"113","V1117166.pdf","Consolidated big parcel with many potentials. Possibility of three single family homes & potentially qualified of BC PNP program for five families with new agriculture business. Existing building is over 5000 SF in a fair condition. Great layout with spacious room size. Huge backyard are all fenced. More than 5 acres land are currently treed & can be used for many agriculture purposes. Call for details.  "
"114","V1117553.pdf","Beautiful architect designed home in prime Shaughnessy near Devonshire Park. This home has been extensively renovated inside and outside in 2012. High ceiling entry foyer opens to entertainment size living and dining rooms. Spacious kitchen with newer appliances. 4 bedrooms 4 bathrooms up including luxurious master suite with spalike ensuite. Lower level has home office and recreation room. Southern backyard with large sundeck, fish pond and matured landscaping. Hardwood floor & airconditioning. Walk to York House, Little Flower and Shaughnessy Elementary schools. Irreplaceable floor plan. You will be impressed. Open Sun May 3 2:30-4 pm.  "
"115","V1117600.pdf","Luxury Green new home,unique three level extra high ceiling no where you can find it. Top of line Melee appliances, crystal lights,granite, marble countertop and ground. Great location close to all level Schools and UBC. Top level features 4 generous sized ensuites bedrooms. Great entertaining home theater downstairs with rec room, Sauna & two guest rooms. Request by seller: no sign on property. Showing on Sunday, Monday and Tuesday only.  "
"116","V1118040.pdf","Welcome to Arbutus where in the popular West Side. This amazing European new home is built with high quality & craftsmanship. Over 4,000 sqft luxury living space! Engineered hardwood flooring throughout with radiant heating. Cozy 100% wool carpet in bedrooms. Bright wall tile and tub surround in master bathroom. Kitchen includes large island, spice kitchen & High-performance S/S appliances. Luxurious master bdm with large walk-in closet & 2 ensuited bdms upstairs. Basement features huge recreation room, media room & 2 ensuited bdms!! Few minutes drive to Arbutus shopping centre, Safeway, Superstore, banks & other retails. Close to Prince of Wales Secondary, Shaughnessy Elementary & Trafalgar Elementary. Easy access to UBC & Downtown.  http://www.realtor.ca/Residential/Single-Family/15578115/2216-W-21ST-AV-Vancouver-...  6/2/2015  2216 W 21ST AV, Vancouver, British Columbia V6L1J5 - V1118040 | Realtor.ca  Page 2 of 2  "
"117","V1118241.pdf","Beautifully located in the heart of Shaughnessy. This 6 bdrs, 4.5 bdths Architect- designed home sitting on 6250 sf large lot. High quality & nice finishing throughout with attention to details. Main floor: formal living and dining rooms, , gorgeous kitchen with custom cabinets and high-end appliances including -Zero fridge, Bosch gas range and double ovens. Top floor features 4 bedrooms with 3 bathrooms including Luxurious master suite with large walk-in closet and deluxe ensuite. Lower level includes 2 bedroom suite. Features charming front yard, hot water radiant heat, real oak hardwood floors, wainscoting, built-in speakers ect. Light, airy, sun filled spaciousness of this wonderful home.  http://www.realtor.ca/Residential/Single-Family/15578070/1255-W-26TH-AV-Vancouver-...  6/2/2015  1255 W 26TH AV, Vancouver, British Columbia V6H2A8 - V1118241 | Realtor.ca  Page 2 of 2  "
"118","V1118264.pdf","Close to 5000sq top luxury custom built home built by famous Italian builder-Homes By Valentino with fantastic downtown and mountain view in the most desirable Cambie area,walk distance to everywhere. Open Floor plan with functional layout.Grand spiral stair with?most luxury finishing you ever seen. 2 bedroom suite in the basement with separate entrance rent for $1,600/month. With the development of Oakridge Mall in the next 10 years, this property will have a great potential?of value increase in the near future. Excellent school catchment: Eric Hamber Secondary & Edith Cavell Elementary.  "
"119","V1118376.pdf","Stunning 65 acre private Gulf Island. Breakwater Island has it all! Sandstone beaches, eagles nests, nature paths, breathtaking views and the ultimate in privacy. Serviced with hydro power and phone, the island also has lots of fresh water along with 2 homes, large workshop, good dock, boat ramp and much more. Watch eagles soar overhead or watch the boats passing by the Gulf Islands or Silva Bay on Gabriola Island which has gas docks, a pub, retail stores and road access, next door. 4 titles gives flexibility to sell portions of the island or keep entirely private.  "
"120","V1118949.pdf","Quality custom built home located in Shaughnessy. At the height of Van Dusen Garden neighbourhood and surrounded by gorgeous new homes. 5545 sf of comfortable living on a 8418 sf of land. Sunny south facing private backyard featuring a sundeck and a pool with a built-in hot tub. Main floor features an entertainment sized living and dining rooms, den, cozy family room and a gourmet kitchen. Seldom available 5 generous size bedrooms and 3 baths up. Lower level has a fantastic media room, a rec room, wet bar, nanny room and 3 piece semi-ensuite. Big storage area for your growing family. Walking distance to Vancouver College, Osler Elementary and Eric Hamber High School Catchment Area.  "
"121","V1119009.pdf","AN Exclusive gated estate on most prestigious street in British Properties. This quality custom built mansion situated on a private 1/2 acre level lot. Grand Foyer, open plan, entertaining size living & dining room, vaulted ceilings, 8 bedrooms, 9 bathrooms, den + office. This sensational luxury home other features : Air-cond , surround sound system, media rooom, wetbar & lots of extra. Views of City, Harbour & Ocean. Park-like backyard with pool. This is a ONE-OF-A-KIND MANSION.  "
"122","V1119028.pdf","The most spectacular sweeping city & ocean views are enjoyed from this 9000 sqft with the unique English Tudor style home located in multimillion dollars Luxury neighbourhood of British Properties,1100 Block of Eyremount Dr..This exquisitely renovated residence offers 180 degree wide views from virtually each & every room & feature a new gourmet kitchen, wok kitchen, elegant living & dining rooms with a spacious sub-master bedroom .fully finished basement has a big theatre room, gym, wet bar. Unique 1/2 indoor 1/2 outdoor swimming pool. Pleasure to show ! (9174 sqft Plan is ready to build a new dream house) www.AG-HOME.ca  "
"123","V1119118.pdf","Magnificent gated estate, walking distance to Collingwood Private School, on a spectacula 37,000 sqft ""flat"" lot with long private driveway leading to stunning 6,000 square ft residence constructed by renowned builders, ""North Eleven Development""! This elegant home is built to exacting standards with impeccable quality and workmanship throughout. Features include formal living and dining rooms, gourmet kitchen, fantastic master bedroom with en-suite, 4 additional large bedroom (with ensuites), spacious 3-car garage, all on the huge flat lot, with room to add tennis courts and swimming pool. Truly a magnificent family estate...  "
"124","V1119135.pdf","Beautiful new home in prestigious Point Grey. 4,176 square ft of luxury living space over 6,173 square ft lot. Quiet tree-lined street with south-facing backyard. This home features a Great room, entertainment sized gourmet kitchen/nook with functional large size wok kitchen on main floor. 5 bedrooms, 4.5 bathrooms & den, wine cellar, steam shower & home theater. Top of the line appliances, air-con, HRV, built-in vacuum, security system. Walking distance to W 10th shops, close to UBC, Lord Byng & Queen Mary school catchment. New Home Warranty.  "
"125","V1119430.pdf","Luxury and elegant architecturally designed custom built house with a big laneway house sit on a large 8100+ sf lot. High quality material used in whole house. Exquisite crown moulding & lots of details, high ceiling, south facing back yard, top of the line appliances and much more. Close to transit, airport, Oakridge mall, Langara College & Churchill High school. Do not miss this great deal!  "
"126","V1119498.pdf","Situated on a South facing manicured 1/2 acre cul-de-sac lot in prestigious ""Whitby Estates"" ,this 6500 sqft residence is designed by David Poskitt. Offering complete privacy with spectacular views of LG Bridge,City,Harbour,Ocean to Vancouver Island. This home features a spacious open floor plan on 2 levels all flowing to gorgeous gardens & sundrenched patios. This residence also features large entertainment-style rooms, wainscoting & extensive use of crown mouldings, fabulous gourmet island kitchen, family room custom millwork & built ins, 4 ensuited brdms, guest bedroom, his/her offices, over sized 3 car garage, wine cellar & media room, gym. Level driveway. Park-like garden with privacy & views. Truly impressive !  "
"127","V1119997.pdf","This residence in popular South Granville area was custom built on a huge Southern exposure corner lot, over 17,000 sq. ft. with 7,083 sq. ft. living area. Main floor features comfortable living & dining room, spacious kitchen with eating area & pantry, entertainment-sized recreation room, a guest room, a den & conservatory with fish pond. Upper floor offers 6 well-appointed bedrooms incl. an extra large master bedroom. Basement has an exercise room, a game room, whirlpool & sauna. Mature landscaped backyard. A short driving distance to Vancouver Airport, community center and Oakridge shopping center. Lots of potential.  "
"128","V1120416.pdf","Great opportunity for investment. Approximate 25 Acre estate on prestigious Sidaway Rd. House features 5 bedrooms 4 bath room in total 4200SQFT. Could built two new houses, up to 10,000sqft each. 900SQFT blueberry farm provide yearly incomeCould be rent it out separately with house. Annually rental income could be more than $220,000. Huge opportunity own this property now: seller guarantee to lease back for 10 years! Motivated seller, price negotiable!!  "
"129","V1120680.pdf","Raise your family here!A warm and inviting family home on a child friendly cul-de-sac in the heart of Altamont,backing onto prestigious Rosebery Ave! Sprawling main level,creating essentially a one-level living concept with all 4 bedrms on the main.Lower level is perfect for the family to hang out with huge rec room, den,bedrm and wine rm, opening up to lovely yard on a bright lot.Quality finishes throughout and ocean views make this house understated yet elegant.Enjoy what this great neighbourhood has to offer.Good for families with kids of all ages.Walk to sought after West Bay IB Elementary.  "
"130","V1120732.pdf","This magnificent home has been completely renovated & updated to the highest of brand new luxury Shaughnessy standards. An expansive family home with 5 bdrms & 6 bathrooms & been meticulously cared for & perfectly maintained. The house itself provides a superb balance between entertaining & family accommodation including: a main floor offering extensive entertaining & family space that is logically arranged. The upper floors are served by 2 staircases & the magnificent master suite occupies the east facing portion of the 2nd floor along with 3 further bedrooms, 4 further bathrooms & dressing parlour. Further features gym, outdoor pool, 2 patios, hot tub & an 800 bottle wine fridge.  "
"131","V1120838.pdf","Location Location Location! This cozy home is located in popular area ""Kitsilano"" where it is close to shopping, beaches and downtown.  "
"132","V1120987.pdf","First time on the market! Absolutely stunning 5,000 SqFt seaside family home built on a virtually level waterfront/beach lot - With deep water moorage dock. Spectacular 5 bed, 6 bath showhome. Main entertaining areas are incredibly spacious and have huge picture windows that capture lively water views and beautiful scenery. Brand new sleek Euro kitchen with Gaggenau and Fagor appliances. Cozy family eating area open onto sunny balcony - Perfect for brunch! Separate master wing enjoys breathtaking water views and a scenic mountain backdrop. Limestone tiled ensuite with massive walk-in shower. Family and friends can enjoy an onsite first class 2 bed guest quarters with patio. VIRTUAL TOUR - https://goo.gl/AtvSqM  "
"133","V1121393.pdf","Architectural designed spacious house located in the corner of 39th/ Trafalgar in peaceful Kerrisdalel. Recent upgrading include new roof, new kitchen with all high end appliances, new laminate floor through the main and new carpet upstairsfresh painted exterior walls. Expansive double height foyer, fresh pained open stairs leading to 2nd floor with 4 ensuites. Basement features a large hot tub, sauna. school catchment: Kerrisdale Elementary, Point Grey secondary. close to Crofton House, UBC, This home was carefully designed with details, ensuring space and comfort for generations to come.  "
"134","V1121707.pdf","This spectacular level waterfront residence is situated on a quiet cul-de-sac on Batchelor Bay overlooking the beach, and the breathtaking South West ocean views to Passage Island, the Gulf Islands & beyond. Beautifully decorated, this home offer a bright open floor plan with large entertainment sized rooms, including 4 spacious bedrooms with a fabulous master bedroom suite, gourmet kitchen, and floor to ceiling windows opening on to a huge, almost 600 sqft sun drenched deck overlooking the sunning ocean views, the level garden with the pool and hot tub. Downstairs, a huge rec. room with wet bar, office, lots of storage... and more sun drenched patios.  "
"135","V1121800.pdf","Centrally located in Prestigious Point Grey, this 6 yr south facing house having 6 bdrms, 5 baths, 3 car/gar provides comfortable living space built with quality material. Close to shopping and transit. Close to Q.E. Elementary, Lord Byng, West Point Grey Academy and UBC. Spacious, bright and clean. Easy to show. A MUST SEE!  "
"136","V1122020.pdf","Not just any spot on the GOLDEN MILE - this is THE place to be. Direct views across to the sparkling ocean, the city lights and the majestic local mountains. Quiet, peaceful, no traffic and a property that has NEVER BEEN AVAILABLE or on the market, until now! Now is YOUR chance to renovate, hold, rebuild, plan your dream home (or homes RT-8 zoning). South facing backyard, lane access, views on every level that will knock your socks off. City plans to extend the park directly in front of this property to provide only bike paths and park on this section of Point Grey Rd. Book your private tour today!  "
"137","V1122200.pdf","Spectacularly built gated home in British Properties. This bright luxurious home situated on a large park like setting lot (21,842 sq ft) with city, ocean & harbour views. The level driveway leads to a very inviting entrance with beautiful stone work and a feature pond . High ceilings on all 3 levels. Main floor open floor plan, large wok kitchen and 2 extra bedrooms, upstairs 3 bedrooms and walk-out basement features theatre, rec and 2 bedrooms with kitchen in-law suite. HRV, A/C, High efficiency heating system. This amazingly beautiful home totals 7 Br & 8 Ba at a total square ft of 8.451. And is truly an amazing property will not last long. For more info: http://www.shirleysun.ca/blog/listing-portfolio/1037-highland-drive/#tab-id-3  "
"138","V1122293.pdf","Absolutely fantastic contemporary designed by John Kay offering grand spaces with beautiful unobstructed 180-degree views from Stanley Park to Bowen Island! 4 bdrms, spacious living, dining & family rm, open glass den overlooking Mount Baker & the City. Featuring glass canopy BBQ area & salt-water swimming pool, wine cellar, & Euroline reflective thermal windows. Insulating ponds of the rooftops offer cooler summers & warm winters. Huge master ensuite magnificent Jacuzzi, his & her walk-in closets. Reflecting water filled decks & patios, exercise rm, media rm & hobby room. Gated privacy surrounded by incredible landscaped gardens with mature shrubs. This 6,800 sqft home is totally outstanding!  "
"139","V1122664.pdf","Custom built home in Kerrisdale with luxurious interior design. This beautiful home boasts over 4200 square ft living space features double height living room, beautiful hardwood flooring, gourmet kitchen & wok kit with top-of-the-line appliances, high end cabinetry, granite countertops & backsplash, A/C, HRV, radiant floor heating. Upstairs with 3 bedrooms (all ensuites). South facing master bedroom with spa-like bath. Basement has a huge rec room with wet bar, media room, guest bedroom, sauna room. 3-car garage & beautifully landscaped garden. 1 block to Elm Park and Few blocks to Crofton School House, Kerrisdale Elem catchments. Close to Point Grey Sec, shopping, restaurants, cafe and banks along 41st Ave.  "
"140","V1122760.pdf","Rare investment opportunity! This property is 75 x 130, includes two lots of 25 x 130 and 50 x 130. Potential to subdivideinto 37.5 x 130 and 37.5 x 130; please confirm with City of Vancouver. Few minutes drive to Kerrisdale shopping area, courses, very close by Magee Secondary. Call us now!  "
"141","V1123105.pdf","Potential Land Assembly of 11 lots or can be assembled in smaller parcels. Amazing opportunity for a large or smaller scale development on this 66x183.5 lot. House is liveable for rental prior to building.  Building Basement Features Unknown  Basement Type Full (Unknown)  Bathrooms (Total) 2  Fireplace 2  Floor Space 2459 sqft  Style Detached  Land Frontage 66 ft  Walk Score® Walk Score®: Car-Dependent  35  Dave Markham 604-341-0702  Raymar Realty Ltd. 741 East Broadway Vancouver, BC   V5T1X8 604-879-4181 Fax: 604-879-4184  http://www.realtor.ca/Residential/Single-Family/15688495/6729-GRANVILLE-ST-Vancou... 6/2/2015  6729 GRANVILLE ST, Vancouver, British Columbia V6P4X1 - V1123105 | Realtor.ca  Page 2 of 2  Data provided by : Real Estate Board Of Greater Vancouver All information displayed is believed to be accurate but is not guaranteed and should be independently verified. No warranties or representations are made of any kind.  http://www.realtor.ca/Residential/Single-Family/15688495/6729-GRANVILLE-ST-Vancou... 6/2/2015  "
"142","V1123148.pdf","What an opportunity, a neighborhood Landmark Property, Hudson House . . . 4800 SF home, updated & renovated w/a touch of a bygone era, on Estate size property of over 20,000 SF (131x153) w/6 bdrm, loads of craftsman character, outdoor pool on a completely private property. Buy to live & enjoy, to hold of to develop your dream 12000 SF mansion or (could be 2 10,000 SF lots 65x153.6 or three 6700 SF lots of 43.7x153.6). The possibilities are abundant w/this property, take your pick. Floor plan & further pics at listing Realtors Website.  "
"143","V1123295.pdf","Whistler.  "
"144","V1123301.pdf","Unique opportunity to advance purchase a great, brand new, VIEW property in the British Properties area. This future home will have the views of the City, Water and Mountains and will be equipped with the state of the art smart home technologies and elevator. This 5000 sqft luxury home will be nestled on 22,500 sqft of park like setting with privacy and only few minutes from downtown. You will save hundreds of thousands by getting in early on this custom home and apply your own personal touch.  "
"145","V1123498.pdf","Freehold UBC Endorsement Land! 30,000sqft big lot! 9,000sqft mansion w/functional layout! 10br+9 bath+Den+3 kitchens! Luxury craftsmanship and high quality materials! Huge hedged yard with professional landscaping! Inside sauna & outside hot tub are bonuses! Lots of parking area for guests with automatic gate! 4br basement can be 2 2br suite with own kitchen and access! 2min walking to banks, restaurants and shopping! Near to everything!  "
"146","V1123500.pdf","Spectacular Super Luxury Home. The only place you can see most amazing ocean & mtn views imaginable from every room in the house. Walking distance to schools, Park Royal S/Ctr. The house has grand foyer, open floor plan, features: 3 ensuite bedrooms upstairs, open floor plan, A/C, HRV, top line appliances, media room & in-law suite on lower floor, huge deck with hot tub enjoy amazing ocean. Pleasure to show!!!  "
"147","V1123523.pdf","Exceptional quality in this 4,619 sq. ft. 6 bedroom, 6 bathroom view home. Features include quality marble flooring, radiant heat, air-conditioning, elevator, self-contained suite and extensive mill work. The layout is fantastic with views from most rooms and huge decks. The front entrance is grand with power gates and water feature that are sure to impress. Impressive street appeal, large square footage and a convenient location just a short walk to Dundarave village.  Open House June  2:00 PM To 4:00 PM  07 SUNDAY  "
"148","V1123680.pdf","Welcome to beautiful 3395 THOMPSON Cres. At $4,688,000. this incredible European Style Home is the best home VALUE (17,000 sq.ft. lot) is all of WESTBAY/WESTMOUNT with INCREDIBLE VIEWS. Recent Sale of 3310 Mathers at $7.5 million and recentsold 3380 Craigend (land only) at $4,338,00 headlines the value of this beautiful Craftsmanship style home which is PERFECTLY situated in WESTBAY SCHOOL CATCHMENT. Granite and marble flooring and countertops with Italian porcelain tile, woodwork and wainscoting, crown mouldings, Euroline tilt and turn European windows to mention a few highlights. The VERY PRIVATE SETTING has NO WIRES which is very rare which allows you to stare at the OCEAN ALL DAY!!!  "
"149","V1123831.pdf","A crisp contemporary design by Mason Kent adorns this sunny lot in Lower Dundarave, and is deserving of a classy owner! The neighbourhood can not be beat with its walkability to schools, the seawall, restaurants, boutiques & everything Dundarave has to offer. There is a flat south facing backyard overlooked by a huge patio. The flexible floorplan has laundry up or down, a wok kitchen or pantry, and 4 bdrms upstairs with a water view. Huge media room, wine bar, full bathrm on the main, large attached garage... AC, HRV, deck heaters, Wolfe, Sub Zero... wood trim, 2x6 construction -- these are all here to be enjoyed. Completion mid summer 2015. Pls do not walk site, call Julia for details.  "
"150","V1124059.pdf","Home is effectively 2 years old. Arguably one of the finest contemporary homes in upper Dundarave just steps to everything life has to offer. This WORLD CLASS ART PIECE is injected with INNOVATION and DESIGN that delivers functionalalityand tranquility to achieve an URBAN OASIS - simply a must see. The incredible open concept floor plan is perfect for entertaining while taking in the AMAZING OCEAN VIEWS. The kitchen and dining rooms open up to an amazing outdoor 4 seasons-like patio with an incredible concrete swimming pool which delivers a great living atmosphere that many individuals moving to West Vancouver desire. TOP OF THE LINE EVERYTHING! This house is a 5 minute walk from Collingwood Elementary. WALK TO SCHOOL!  "
"151","V1124278.pdf","Beautiful luxury custom built home in the heart of Point Grey. 50 x 22, 6,100 square ft lot. The house was built in 2013 with very functional floor plan. 6 bdrm & 7 bath & 1 den. The main floor features high-ceiling and solid hardwood floor, granite counter tops and first-class appliances. The lower level has a media, wine room and guest suite. Mountain and ocean view from the upper roof deck. 2-5-10 new home warranty. Close to UBC and school catchment is Queen Elizabeth Elementary & Lord Byng Secondary. Open house on May 31 Sun 2-4pm  "
"152","V1124383.pdf","Location! Location! Location! Spectacular custom built home on 6357 SF (52x122.25) lot w/marvellous layout in Kerrisdale area, 4065 SF floor area, 6 bedrooms & 6 baths. High ceilings & spacious entrance hall. With high quality materials & finishing, house presents 4 bdrms up, 2 guest rm down & 5.5 bathrms. Gourmet kitchen with granite countertops is equipped with top brand appliances & wok kitchen. Media rm & recreation hall in the bsmt. Hardwood floor, central vacuums, HRV, central air conditioning. Central location of the city. Close to Kerrisdale shopping area, restaurants, community centre & public transit. Top ranking school catchments of Maple Grove Elem & Magee Secondary. Open House, Sat 2-4PM.  "
"153","V1124747.pdf","This open-plan 4,360sqft custom built house with 10,362sqft huge lot, located in Riverdale are. Four ensuited bedrooms upstairs including a very large master bedroom with dry sauna, and one ensuited bedroom downstairs. Air conditioning, HRV, music system surrounding the whole house, and a smart control home system, which controls security system, all lights, sound system and much more. High-end kitchen appliances /wolf and subzero.Nice landscaping and view through backyard. Move to such an elegant home and great neighborhood. One of kind, proud to show!  "
"154","V1125023.pdf","Lovely city and bridge view from this updated home on a gently sloping, south facing property that is almost 25,000 square feet! This is a beautiful setting with the party sized pool and the city in the background. The kitchen has all beenupdated with a huge island and new appliances, the window have been upgraded and the floors redone. This spacious layout features 4 bedrooms up 3 with ensuite and the fifth down. You can move right into this house while you make plans to build your dream home on this special property. BONUS: Property may be purchased along with next door 670 Parkside Rd. also on MLS, to form an over 1 ACRE LOT.  "
